category,titles,date,descriptions,urls
business,Rupee eyes speculative flows after defeat at key resistance level,"Tuesday, 28 May, 2024","The Indian rupee is expected to open little changed on Tuesday, taking direction from speculative and other flows after failing to pierce past an important handle in previous sessions. Goldman Sachs last week said it is moving its forecast of the Fed's first rate cut back one meeting, from July to September.",https://investmentguruindia.com/newsdetail/rupee-eyes-speculative-flows-after-defeat-at-key-resistance-level890530?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Our govt focuses on transparency, UPA hid deficits: FM Sitharaman","Tuesday, 28 May, 2024","Finance Minister Nirmala Sitharaman took to X on Monday to criticise the previous Congress-led UPA government's budgetary practices. ""Our government has prioritized transparency in its budgeting practices and numbers. This starkly contrasts the Congress-led UPA government's repetitive practice of hiding the deficits through off-budget borrowings and issuance of 'Oil Bonds',"" she said.",https://x.com/nsitharaman/status/1794976075065540611?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,"Asia shares drift after rally, Wall Street reopen in focus","Tuesday, 28 May, 2024","Asian shares held a mixed tone on Tuesday after rallying the previous session, as rising bets of an imminent European rate cut helped risk appetite ahead of some key inflation data. MSCI's broadest index of Asia-Pacific shares outside Japan rose 0.4%, thanks to a 0.7% gain in Hong Kong's Hang Seng index, after gaining 0.9% on Monday.",https://investmentguruindia.com/newsdetail/asia-shares-drift-after-rally-wall-street-reopen-in-focus202650?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,68% insolvency & bankruptcy claims lost with no interest: Kotak,"Tuesday, 28 May, 2024","Billionaire Uday Kotak said 68% of the claims made under the government's Insolvency and Bankruptcy Code (IBC) are ""lost with no interest post claim admission"". ""Main reason is delay in admission to NCLT and time taken there,"" Kotak said on the loss of claims. ""If we quicken that, recovery percentage improves. ICB has brought benefits of...corporate accountability,"" he added.",https://x.com/udaykotak/status/1795281309092491656?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,Book profit on election-driven market rallies,"Tuesday, 28 May, 2024","Given the current valuation, any market upswing due to the election outcome must be taken as an opportunity for investors to book profit, according to Quest Investment Advisors' Aniruddha Sarkar. Sarkar currently maintains around 8-10% in cash, though he is not very negative on the market.",https://www.ndtvprofit.com/markets/book-profit-on-election-driven-market-rallies-says-quest-investments-aniruddha-sarka?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Indian shares likely to open slightly higher tracking Asian peers,"Tuesday, 28 May, 2024","Indian shares are set to open marginally higher on Tuesday, tracking Asian peers, while investor focus will be on the country's biggest insurer, Life Insurance Corp of India (LIC), after its quarterly earnings. The Gift Nifty was trading at 23,022 points as of 7:29 am IST, indicating that the Nifty 50 will open higher than its previous close of 22,932.45.",https://investmentguruindia.com/newsdetail/indian-shares-likely-to-open-slightly-higher-tracking-asian-peers811486?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Defence, railway stocks to rise if BJP wins polls: Motilal Oswal","Tuesday, 28 May, 2024","Motilal Oswal Financial Services Chairman Raamdeo Agrawal said there is a high probability that ruling BJP government will continue to be in power after the ongoing Lok Sabha elections. He added the shares of defence, infrastructure, railway and capital goods companies will be boosted in that case. ""These were areas where the government has focussed on, invested money,"" he added.",https://www.hindustantimes.com/business/motilal-oswals-chief-predicts-these-stocks-will-gain-if-pm-narendra-modi-reelected-101716862171762-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,How to stop spam messages in Android,"Tuesday, 28 May, 2024","Learn how to stop spam messages in Android with just five simple steps. By enabling spam protection and blocking suspicious senders in Google Messages, you can effectively safeguard your inbox and enjoy a clutter-free messaging experience. Take control of your digital communication today and put an end to unwanted spam texts disrupting your day.",https://trak.in/stories/how-to-stop-spam-messages-in-android-5-easy-steps/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"UK will issue 45,000 new seasonal work visas for 5 years","Tuesday, 28 May, 2024","To aid strategic planning and reduce reliance on migrant labor, the UK has extended the Seasonal Worker visa program until 2029. This extension, along with a 50 million pound investment in automation and robotic development, aims to alleviate labor shortages in the food supply chain. The government will issue 45,000 visas annually and support technological advancements in agriculture.",https://trak.in/stories/uk-seasonal-work-visa-extended-for-5-years-for-these-skills/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Google invests ₹2900 crore in Flipkart, without a board seat","Tuesday, 28 May, 2024","Google has invested $350 million in Flipkart, valuing the e-commerce company at $36 billion, without securing a board seat. The investment aims to modernize Flipkart's digital infrastructure through a cloud collaboration. Flipkart is preparing for an IPO, expanding same-day delivery to 20 cities, and addressing financial challenges.",https://trak.in/stories/google-invests-rs-2900-crore-into-flipkart-but-wont-get-a-board-seat/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
